









Frequency of observations in the selected location(s).:
Number of taxa: 	314

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	30.0	33.0	39.0	57.0	44.0	32.0	30.0	42.0	39.0	40.0	45.0	52.0	37.0	32.0	22.0	43.0	30.0	57.0	28.0	35.0	17.0	14.0	15.0	13.0	13.0	11.0	7.0	27.0	11.0	11.0	6.0	15.0	19.0	22.0	14.0	33.0	23.0	26.0	19.0	35.0	30.0	28.0	22.0	20.0	23.0	20.0	51.0	41.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.030303	0.0	0.0	0.0	0.0	0.0	0.0238095	0.0	0.025	0.0222222	0.0769231	0.0810811	0.0625	0.0909091	0.0930233	0.0666667	0.122807	0.0714286	0.0857143	0.2941176	0.1428571	0.1333333	0.0015	0.0	0.0015	0.1428571	0.0740741	0.0909091	0.0	0.0	0.0	0.0526316	0.0909091	0.0	0.030303	0.0	0.0	0.0	0.0571429	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Swan Goose (Domestic type) (<em class="sci">Anser cygnoides (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0243902	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.030303	0.0	0.0	0.0	0.03125	0.0	0.1428571	0.0	0.0	0.0444444	0.0	0.0810811	0.09375	0.0454545	0.1162791	0.1666667	0.1052632	0.0714286	0.0285714	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0015	0.0909091	0.0	0.0	0.0	0.0571429	0.0	0.0357143	0.0454545	0.0	0.0434783	0.1	0.0588235	0.0731707	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0333333	0.0606061	0.0769231	0.0526316	0.0454545	0.03125	0.0666667	0.0952381	0.0512821	0.075	0.3111111	0.3269231	0.3783784	0.21875	0.3636364	0.3488372	0.2	0.1052632	0.0357143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526316	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0980392	0.0731707	
Cinnamon Teal (<em class="sci">Spatula cyanoptera</em>)	0.0	0.0606061	0.0	0.0	0.0	0.0	0.0	0.0	0.025641	0.0	0.0	0.0192308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0784314	0.0731707	
Blue-winged x Cinnamon Teal (hybrid) (<em class="sci">Spatula discors x cyanoptera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0	0.0909091	0.0	0.0526316	0.0227273	0.0	0.0	0.0238095	0.025641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0357143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0588235	0.0	
Gadwall (<em class="sci">Mareca strepera</em>)	0.1	0.1515152	0.0512821	0.0701754	0.1363636	0.09375	0.1666667	0.3571429	0.1794872	0.1	0.0666667	0.0192308	0.027027	0.0	0.0	0.0	0.0	0.0	0.0357143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1176471	0.097561	
American Wigeon (<em class="sci">Mareca americana</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0357143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0243902	
