









Frequency of observations in the selected location(s).:
Number of taxa: 	192

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	7.0	12.0	13.0	27.0	9.0	5.0	12.0	2.0	4.0	2.0	1.0	4.0	4.0	3.0	2.0	16.0	11.0	5.0	2.0	3.0	5.0	5.0	5.0	2.0	5.0	2.0	1.0	0.0	2.0	0.0	2.0	2.0	6.0	3.0	0.0	3.0	7.0	5.0	8.0	4.0	8.0	8.0	5.0	7.0	6.0	21.0	11.0	7.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.2857143	0.3333333	0.2307692	0.1851852	0.4444444	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.25	0.2	0.0	0.3333333	0.0952381	0.1818182	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0	0.0769231	0.1481481	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.25	0.3333333	0.0	0.0625	0.1818182	0.0	0.0	0.3333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.047619	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gadwall (<em class="sci">Mareca strepera</em>)	0.0	0.0	0.0769231	0.1851852	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Wigeon (<em class="sci">Mareca americana</em>)	0.0	0.0	0.0	0.0740741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.2857143	0.1666667	0.2307692	0.0740741	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	
Canvasback (<em class="sci">Aythya valisineria</em>)	0.0	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked Duck (<em class="sci">Aythya collaris</em>)	0.0	0.0	0.0	0.0740741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Scaup (<em class="sci">Aythya affinis</em>)	0.0	0.0	0.0769231	0.1481481	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bufflehead (<em class="sci">Bucephala albeola</em>)	0.0	0.0	0.0769231	0.0740741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Duck (<em class="sci">Oxyura jamaicensis</em>)	0.0	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
duck sp. (<em class="sci">Anatinae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	
Pied-billed Grebe (<em class="sci">Podilymbus podiceps</em>)	0.0	0.0	0.0769231	0.1481481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rock Pigeon (<em class="sci">Columba livia</em>)	0.5714286	0.3333333	0.3076923	0.3703704	0.4444444	0.2	0.75	1.0	0.25	1.0	0.0	0.5	0.75	0.3333333	1.0	0.375	0.2727273	0.4	0.0	0.3333333	0.8	0.6	0.6	1.0	0.0	0.5	1.0	0.0	0.5	0.0	1.0	0.5	0.3333333	0.0	0.0	0.3333333	0.4285714	0.2	0.5	0.5	0.5	0.125	0.6	0.5714286	0.5	0.1428571	0.3636364	0.1428571	
Eurasian Collared-Dove (<em class="sci">Streptopelia decaocto</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Inca Dove (<em class="sci">Columbina inca</em>)	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0015	0.4	0.0	0.0	0.4	0.4	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	1.0	0.5	0.1666667	0.0	0.0	0.3333333	0.1428571	0.2	0.0	0.5	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-winged Dove (<em class="sci">Zenaida asiatica</em>)	0.2857143	0.5833333	0.6153846	0.6666667	0.4444444	0.6	1.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	0.75	0.7272727	0.4	1.0	0.6666667	1.0	0.8	0.8	1.0	1.0	1.0	1.0	0.0	0.5	0.0	1.0	1.0	0.6666667	0.6666667	0.0	0.6666667	0.8571429	0.6	0.625	0.75	0.5	0.5	0.4	1.0	0.5	0.7619048	0.9090909	0.7142857	
