









Frequency of observations in the selected location(s).:
Number of taxa: 	296

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	63.0	39.0	52.0	61.0	50.0	180.0	53.0	100.0	132.0	82.0	78.0	90.0	51.0	35.0	54.0	73.0	43.0	25.0	30.0	30.0	26.0	21.0	12.0	15.0	21.0	14.0	16.0	26.0	21.0	17.0	20.0	33.0	32.0	26.0	37.0	24.0	42.0	38.0	32.0	48.0	23.0	28.0	34.0	40.0	26.0	42.0	44.0	59.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0163934	0.0	0.0055556	0.0377358	0.0	0.0	0.0731707	0.1025641	0.1444444	0.254902	0.1714286	0.0925926	0.0684932	0.0930233	0.04	0.1666667	0.2	0.1538462	0.2857143	0.0833333	0.1333333	0.1904762	0.0714286	0.25	0.4230769	0.3333333	0.2941176	0.25	0.1515152	0.0625	0.1153846	0.0540541	0.0	0.0	0.0789474	0.09375	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0294118	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.0	0.025641	0.0	0.0	0.0	0.0055556	0.0	0.0	0.0	0.0	0.0384615	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303	0.0	0.0384615	0.027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0015	0.0	0.0188679	0.0	0.0	0.0121951	0.0	0.0	0.0784314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.047619	0.0769231	0.0576923	0.0327869	0.02	0.0777778	0.0754717	0.09	0.0984848	0.097561	0.1794872	0.2111111	0.1372549	0.1428571	0.2037037	0.1917808	0.1860465	0.12	0.0666667	0.2333333	0.1153846	0.1428571	0.0	0.0666667	0.047619	0.0714286	0.1875	0.0769231	0.0952381	0.0	0.15	0.030303	0.03125	0.0769231	0.027027	0.0833333	0.2142857	0.1052632	0.1875	0.125	0.0	0.0357143	0.1176471	0.025	0.0	0.0238095	0.0	0.0338983	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.047619	0.025641	0.0	0.0	0.0	0.0111111	0.0566038	0.1	0.0909091	0.3292683	0.4487179	0.4222222	0.5098039	0.3142857	0.3333333	0.3150685	0.1395349	0.2	0.0333333	0.0666667	0.0384615	0.0	0.0	0.0	0.0	0.0714286	0.0625	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0540541	0.0416667	0.1904762	0.0526316	0.09375	0.0833333	0.0	0.0	0.0294118	0.0	0.0384615	0.0	0.0	0.0	
