









Frequency of observations in the selected location(s).:
Number of taxa: 	132

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	5.0	12.0	10.0	15.0	14.0	9.0	11.0	16.0	14.0	11.0	8.0	13.0	9.0	10.0	17.0	14.0	9.0	10.0	9.0	7.0	4.0	5.0	3.0	5.0	4.0	2.0	3.0	4.0	10.0	4.0	12.0	9.0	6.0	8.0	10.0	11.0	8.0	12.0	6.0	5.0	4.0	9.0	6.0	8.0	2.0	9.0	12.0	11.0	

Graylag Goose (Domestic type) (<em class="sci">Anser anser (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.1176471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.25	0.1	0.1818182	0.125	0.0	0.1666667	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.2	0.5	0.3	0.6	0.6428571	0.7777778	0.4545455	0.625	0.6428571	0.7272727	0.875	0.6153846	0.7777778	0.7	0.8823529	0.9285714	0.7777778	1.0	0.6666667	0.8571429	0.5	0.6	0.0015	0.4	0.75	1.0	1.0	1.0	0.6	0.75	0.6666667	0.7777778	0.8333333	0.625	0.8	0.5454545	0.25	0.3333333	0.5	0.2	0.5	0.5555556	0.6666667	0.75	1.0	0.7777778	0.75	0.3636364	
Australian Shelduck (<em class="sci">Tadorna tadornoides</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Maned Duck (<em class="sci">Chenonetta jubata</em>)	0.0	0.0	0.0	0.0666667	0.0	0.1111111	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	
Australian Shoveler (<em class="sci">Spatula rhynchotis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0588235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pacific Black Duck (<em class="sci">Anas superciliosa</em>)	1.0	0.9166667	1.0	1.0	1.0	1.0	1.0	0.9375	0.9285714	0.8181818	1.0	1.0	0.8888889	1.0	1.0	1.0	0.8888889	1.0	0.7777778	0.8571429	0.75	0.8	0.0015	0.6	0.75	1.0	0.6666667	0.5	0.6	1.0	0.9166667	0.7777778	0.8333333	0.875	1.0	0.9090909	0.875	0.6666667	0.8333333	1.0	1.0	1.0	0.6666667	1.0	1.0	1.0	0.9166667	0.9090909	
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	
Gray Teal (<em class="sci">Anas gracilis</em>)	0.4	0.25	0.2	0.2666667	0.3571429	0.1111111	0.0909091	0.0	0.0714286	0.0909091	0.125	0.1538462	0.2222222	0.1	0.1176471	0.1428571	0.2222222	0.6	0.5555556	0.1428571	0.25	0.2	0.6666667	0.0	0.25	0.5	0.0	0.25	0.1	0.5	0.25	0.3333333	0.1666667	0.125	0.0	0.3636364	0.375	0.3333333	0.3333333	0.2	0.25	0.5555556	0.1666667	0.0	0.0	0.2222222	0.0	0.1818182	
Chestnut Teal (<em class="sci">Anas castanea</em>)	0.4	0.5833333	0.3	0.6	0.5714286	0.5555556	0.3636364	0.6875	0.7857143	0.3636364	0.125	0.3076923	0.4444444	0.6	0.9411765	0.7142857	0.4444444	0.7	0.3333333	0.5714286	0.5	0.4	0.3333333	0.6	0.5	0.5	0.6666667	0.25	0.6	1.0	0.9166667	0.5555556	0.5	0.5	0.9	0.7272727	0.75	0.1666667	0.0015	0.2	0.75	0.3333333	0.1666667	0.5	0.5	0.6666667	0.6666667	0.4545455	
teal sp. (<em class="sci">Anatidae sp. (teal sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
