









Frequency of observations in the selected location(s).:
Number of taxa: 	219

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	41.0	59.0	55.0	77.0	54.0	43.0	51.0	51.0	52.0	39.0	26.0	56.0	32.0	34.0	29.0	40.0	38.0	46.0	39.0	44.0	21.0	35.0	30.0	46.0	49.0	46.0	41.0	61.0	50.0	38.0	53.0	59.0	35.0	47.0	37.0	47.0	67.0	51.0	44.0	65.0	28.0	56.0	53.0	68.0	35.0	26.0	22.0	35.0	

Magpie Goose (<em class="sci">Anseranas semipalmata</em>)	0.0	0.0	0.0181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Plumed Whistling-Duck (<em class="sci">Dendrocygna eytoni</em>)	0.0	0.0	0.0	0.012987	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0163934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0147059	0.0	0.0	0.0	0.0	
Graylag Goose (Domestic type) (<em class="sci">Anser anser (Domestic type)</em>)	0.1463415	0.3728814	0.4181818	0.4545455	0.5	0.4418605	0.3137255	0.4509804	0.3269231	0.3589744	0.1923077	0.3035714	0.40625	0.3529412	0.5517241	0.625	0.5263158	0.5	0.5128205	0.4545455	0.3333333	0.4285714	0.2666667	0.3695652	0.4693878	0.5869565	0.5853659	0.4262295	0.48	0.3684211	0.3207547	0.4067797	0.3714286	0.4042553	0.2702703	0.4468085	0.3731343	0.6078431	0.4772727	0.5384615	0.6428571	0.4285714	0.5471698	0.5735294	0.4285714	0.5769231	0.6363636	0.0857143	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.3658537	0.3050847	0.2909091	0.3766234	0.3518519	0.3255814	0.372549	0.372549	0.3076923	0.4358974	0.5384615	0.4107143	0.40625	0.3823529	0.3448276	0.35	0.2894737	0.2608696	0.2564103	0.3181818	0.3809524	0.4285714	0.3	0.2826087	0.3673469	0.2608696	0.3414634	0.4262295	0.36	0.3157895	0.3584906	0.3389831	0.2285714	0.3404255	0.3783784	0.1914894	0.238806	0.2941176	0.2045455	0.1846154	0.1428571	0.2142857	0.1320755	0.1764706	0.2285714	0.3076923	0.1818182	0.2857143	
Freckled Duck (<em class="sci">Stictonetta naevosa</em>)	0.0	0.0508475	0.0	0.0779221	0.0185185	0.0232558	0.0	0.0392157	0.0961538	0.2051282	0.0	0.0	0.0015	0.0	0.0	0.075	0.0263158	0.0	0.0	0.0227273	0.0952381	0.2857143	0.1666667	0.2173913	0.1632653	0.1521739	0.1463415	0.3770492	0.3	0.0526316	0.0566038	0.1525424	0.2857143	0.1489362	0.1621622	0.0425532	0.0597015	0.1568627	0.1818182	0.1076923	0.1071429	0.0178571	0.0188679	0.0	0.0285714	0.0	0.0	0.0571429	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.902439	0.9661017	0.9272727	0.974026	0.9259259	1.0	1.0	0.9607843	0.9038462	0.974359	0.8846154	0.9285714	0.9375	0.9705882	0.9655172	0.925	0.9473684	0.9782609	0.8974359	0.9545455	0.9047619	0.9428571	0.9	0.826087	0.9387755	0.9565217	0.9512195	0.9836066	0.94	0.9473684	0.9245283	0.9491525	0.9428571	0.9787234	0.9459459	0.9787234	0.8507463	0.9411765	0.8636364	0.9076923	1.0	0.8214286	0.8867925	0.9852941	1.0	1.0	1.0	0.8857143	
Australian Shelduck (<em class="sci">Tadorna tadornoides</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0217391	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0153846	0.0	0.0	0.0188679	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.097561	0.1355932	0.0545455	0.025974	0.0	0.0232558	0.0392157	0.0784314	0.0192308	0.0769231	0.0769231	0.0535714	0.21875	0.1764706	0.2758621	0.2	0.2368421	0.1304348	0.1282051	0.2045455	0.1428571	0.3142857	0.2	0.2391304	0.3061224	0.173913	0.1463415	0.0655738	0.06	0.1052632	0.0188679	0.1525424	0.0571429	0.1276596	0.0810811	0.2553191	0.1492537	0.1960784	0.1136364	0.0923077	0.1785714	0.1071429	0.1132075	0.0441176	0.0	0.1153846	0.0	0.1714286	
