









Frequency of observations in the selected location(s).:
Number of taxa: 	158

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Chestnut Teal (<em class="sci">Anas castanea</em>)	0.0967742	0.3157895	0.047619	0.1363636	0.2105263	0.0857143	0.0769231	0.0322581	0.0588235	0.0555556	0.2307692	0.1	0.0015	0.1	0.0666667	0.2222222	0.1818182	0.0769231	0.0909091	0.0434783	0.125	0.1428571	0.1875	0.1891892	0.0869565	0.0769231	0.1875	0.3571429	0.1071429	0.0952381	0.0606061	0.2608696	0.1666667	0.36	0.2571429	0.3404255	0.3076923	0.25	0.2285714	0.2391304	0.2173913	0.0789474	0.0645161	0.125	0.28	0.0416667	0.0769231	0.15625	
teal sp. (<em class="sci">Anatidae sp. (teal sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0153846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-eared Duck (<em class="sci">Malacorhynchus membranaceus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hardhead (<em class="sci">Aythya australis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0015	0.0	0.0540541	0.0	0.0	0.0625	0.0015	0.0015	0.047619	0.0015	0.0434783	0.0416667	0.08	0.0	0.0	0.0153846	0.0357143	0.0571429	0.0652174	0.0	0.0	0.0	0.0	0.0	0.0416667	0.0015	0.0	
Musk Duck (<em class="sci">Biziura lobata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0217391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
duck sp. (<em class="sci">Anatinae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0285714	0.0769231	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Australian Brushturkey (<em class="sci">Alectura lathami</em>)	0.0	0.0	0.0	0.0	0.0	0.0285714	0.0384615	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.027027	0.0	0.0	0.0	0.0	0.0357143	0.0	0.0	0.0	0.0416667	0.0	0.0	0.0212766	0.0153846	0.0	0.0	0.0217391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Indian Peafowl (Domestic type) (<em class="sci">Pavo cristatus (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Australasian Grebe (<em class="sci">Tachybaptus novaehollandiae</em>)	0.0	0.0	0.0	0.0	0.0	0.0285714	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0869565	0.0	0.0	0.0015	0.0	0.0869565	0.0	0.0625	0.0	0.0714286	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hoary-headed Grebe (<em class="sci">Poliocephalus poliocephalus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0153846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Great Crested Grebe (<em class="sci">Podiceps cristatus</em>)	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
grebe sp. (<em class="sci">Podicipedidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rock Pigeon (<em class="sci">Columba livia</em>)	0.6451613	0.5263158	0.7142857	0.6818182	0.5263158	0.5714286	0.6538462	0.6774194	0.7647059	0.5	0.6538462	0.4666667	0.2857143	0.45	0.6666667	0.5	0.5454545	0.5384615	0.5454545	0.6521739	0.625	0.7857143	0.4375	0.5945946	0.5217391	0.7692308	0.4375	0.7857143	0.6428571	0.5238095	0.6363636	0.6086957	0.5833333	0.64	0.6857143	0.7021277	0.5846154	0.6428571	0.6	0.673913	0.7391304	0.6578947	0.6129032	0.7916667	0.52	0.7916667	0.6153846	0.65625	
White-headed Pigeon (<em class="sci">Columba leucomela</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0307692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
