









Frequency of observations in the selected location(s).:
Number of taxa: 	339

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	320.0	223.0	222.0	285.0	222.0	207.0	233.0	231.0	265.0	208.0	239.0	375.0	278.0	258.0	283.0	401.0	312.0	312.0	252.0	387.0	294.0	252.0	175.0	182.0	164.0	128.0	150.0	258.0	153.0	145.0	169.0	266.0	192.0	145.0	175.0	262.0	222.0	220.0	209.0	368.0	210.0	236.0	189.0	258.0	164.0	151.0	120.0	249.0	

Emperor Goose (<em class="sci">Anser canagicus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065359	0.0068966	0.0059172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.009375	0.044843	0.009009	0.0	0.0	0.0241546	0.0042918	0.0015	0.0113208	0.0048077	0.0041841	0.0133333	0.0179856	0.0116279	0.0176678	0.0	0.0192308	0.0032051	0.0039683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0181818	0.0526316	0.1358696	0.0238095	0.0762712	0.037037	0.0503876	0.0304878	0.0	0.025	0.0281124	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose (<em class="sci">Anser caerulescens/rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.015625	0.0134529	0.009009	0.0245614	0.0135135	0.0289855	0.0214592	0.025974	0.0377358	0.0240385	0.0292887	0.0506667	0.0755396	0.0310078	0.0424028	0.042394	0.0288462	0.0064103	0.0	0.002584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0137931	0.0057143	0.0992366	0.1351351	0.1772727	0.0717703	0.0108696	0.0142857	0.0127119	0.021164	0.0193798	0.0426829	0.0198675	0.0166667	0.0040161	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.003125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048077	0.0	0.0	0.0	0.0	0.0	0.0	0.0032051	0.0	0.0	0.0	0.0034014	0.0	0.0	0.0	0.0060976	0.0078125	0.0	0.0	0.0065359	0.0	0.0059172	0.0037594	0.0052083	0.0	0.0	0.0038168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0120482	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.015625	0.058296	0.0315315	0.0350877	0.045045	0.1256039	0.0214592	0.04329	0.0641509	0.0480769	0.0669456	0.0533333	0.0539568	0.0193798	0.0318021	0.0149626	0.0160256	0.025641	0.0	0.002584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065359	0.0	0.0	0.0	0.0	0.0	0.0228571	0.0763359	0.0495495	0.0590909	0.0909091	0.0461957	0.0714286	0.0550847	0.0687831	0.0620155	0.0182927	0.0331126	0.075	0.0281124	
