









Frequency of observations in the selected location(s).:
Number of taxa: 	378

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	158.0	106.0	99.0	155.0	122.0	109.0	154.0	151.0	148.0	163.0	193.0	246.0	198.0	164.0	232.0	284.0	239.0	220.0	159.0	249.0	149.0	107.0	129.0	165.0	141.0	118.0	124.0	152.0	132.0	127.0	152.0	296.0	236.0	184.0	219.0	238.0	195.0	150.0	136.0	187.0	164.0	168.0	141.0	136.0	137.0	93.0	71.0	232.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066225	0.0	0.006135	0.0051813	0.0	0.0	0.0	0.0086207	0.0035211	0.0	0.0045455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042017	0.025641	0.0533333	0.0955882	0.0427807	0.0182927	0.0416667	0.0141844	0.0	0.0145985	0.0107527	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067568	0.0	0.0	0.0	0.0	0.0060976	0.0172414	0.0035211	0.0041841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0252101	0.0102564	0.0133333	0.0073529	0.0053476	0.0060976	0.0059524	0.0	0.0	0.0	0.0	0.0015	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.1012658	0.1132075	0.1313131	0.1419355	0.1229508	0.2110092	0.1688312	0.2450331	0.277027	0.3312883	0.3523316	0.3252033	0.3939394	0.3597561	0.4396552	0.3802817	0.2008368	0.1181818	0.0188679	0.0120482	0.0	0.0	0.0	0.0	0.0	0.0	0.016129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042017	0.0	0.0066667	0.0073529	0.0	0.0304878	0.0892857	0.0780142	0.1029412	0.1824818	0.0645161	0.2253521	0.137931	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0316456	0.0	0.0	0.0064516	0.0	0.0	0.0	0.0	0.0067568	0.0	0.0051813	0.0	0.0050505	0.0243902	0.0991379	0.0492958	0.0125523	0.0045455	0.0062893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0091324	0.0504202	0.0615385	0.0466667	0.1102941	0.0748663	0.0487805	0.0238095	0.0567376	0.0073529	0.0145985	0.0	0.0	0.0258621	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.0822785	0.0471698	0.040404	0.083871	0.0491803	0.0550459	0.1168831	0.0529801	0.0878378	0.1533742	0.1606218	0.1422764	0.1010101	0.1341463	0.1594828	0.1161972	0.0794979	0.1363636	0.2075472	0.313253	0.1409396	0.1121495	0.124031	0.1030303	0.0780142	0.1355932	0.1209677	0.1052632	0.0833333	0.1338583	0.0986842	0.1452703	0.1144068	0.1413043	0.109589	0.092437	0.0769231	0.1133333	0.1397059	0.1069519	0.097561	0.0952381	0.0992908	0.0514706	0.0510949	0.0107527	0.056338	0.1206897	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0	0.0	0.0	0.0064516	0.0	0.0	0.0	0.0	0.0	0.006135	0.0	0.0	0.0	0.0	0.0172414	0.0	0.0	0.0	0.0062893	0.0040161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051282	0.0066667	0.0073529	0.0053476	0.0	0.0059524	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006135	0.0	0.004065	0.0	0.0121951	0.0344828	0.0	0.0	0.0	0.0062893	0.0040161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033784	0.0	0.0	0.0136986	0.012605	0.0205128	0.0066667	0.0220588	0.0320856	0.0060976	0.0059524	0.0070922	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan (<em class="sci">Cygnus buccinator</em>)	0.0063291	0.0	0.0	0.0	0.0081967	0.0	0.0	0.0	0.0202703	0.0245399	0.0051813	0.004065	0.0	0.0	0.0	0.0105634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0160428	0.0121951	0.0357143	0.0638298	0.0735294	0.0	0.0	0.0	0.0	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0064935	0.0	0.0067568	0.0122699	0.0051813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0121951	0.0	0.0212766	0.0220588	0.0	0.0	0.0	0.0	
