









Frequency of observations in the selected location(s).:
Number of taxa: 	318

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	85.0	107.0	112.0	114.0	104.0	70.0	110.0	104.0	95.0	138.0	135.0	210.0	160.0	155.0	110.0	113.0	105.0	116.0	108.0	136.0	75.0	72.0	53.0	77.0	52.0	75.0	95.0	87.0	64.0	69.0	56.0	97.0	70.0	68.0	75.0	93.0	80.0	94.0	72.0	126.0	81.0	82.0	87.0	77.0	88.0	82.0	69.0	74.0	

Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0666667	0.0047619	0.0375	0.0258065	0.0090909	0.0	0.0095238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0107527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.4588235	0.7850467	0.7053571	0.9122807	0.7788462	0.9142857	0.8363636	0.8173077	0.8315789	0.7391304	0.7481481	0.5380952	0.38125	0.1870968	0.0363636	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106383	0.0138889	0.0238095	0.0246914	0.1341463	0.0689655	0.0779221	0.1136364	0.2073171	0.4927536	0.5540541	
Gadwall (<em class="sci">Mareca strepera</em>)	0.1058824	0.1308411	0.1875	0.0964912	0.0865385	0.0142857	0.0363636	0.0480769	0.0105263	0.0942029	0.0666667	0.0666667	0.08125	0.0129032	0.0181818	0.0	0.0095238	0.0	0.0092593	0.0	0.0	0.0138889	0.0188679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0133333	0.0	0.0	0.0212766	0.0	0.0238095	0.037037	0.0243902	0.0344828	0.012987	0.0113636	0.0365854	0.057971	0.0540541	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.1529412	0.1214953	0.0982143	0.0175439	0.0096154	0.0	0.0727273	0.0480769	0.0631579	0.2101449	0.2074074	0.1714286	0.0875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0555556	0.1031746	0.037037	0.1463415	0.1034483	0.0519481	0.0909091	0.097561	0.1594203	0.0945946	
American Wigeon (<em class="sci">Mareca americana</em>)	0.8235294	0.8878505	0.8392857	0.8333333	0.7596154	0.8142857	0.7818182	0.7692308	0.8526316	0.7898551	0.7481481	0.7	0.55625	0.3677419	0.1454545	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0266667	0.0215054	0.075	0.0957447	0.3333333	0.4206349	0.6049383	0.7439024	0.8045977	0.9090909	0.7954545	0.7926829	0.9130435	0.8108108	
Eurasian x American Wigeon (hybrid) (<em class="sci">Mareca penelope x americana</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025974	0.0	0.0	0.0	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.9411765	0.9719626	0.9375	0.9561404	0.9903846	0.9714286	0.9545455	0.9519231	0.9789474	0.9347826	0.9481481	0.8904762	0.85625	0.8387097	0.7545455	0.7433628	0.6761905	0.6810345	0.6944444	0.7720588	0.7866667	0.7222222	0.7169811	0.5584416	0.5192308	0.3466667	0.3368421	0.3563218	0.546875	0.5072464	0.6071429	0.5876289	0.6571429	0.75	0.7333333	0.9247312	0.9375	0.9042553	0.9166667	0.9444444	0.9259259	0.9634146	0.908046	0.9480519	0.9318182	0.902439	1.0	0.972973	
American Black Duck (<em class="sci">Anas rubripes</em>)	0.6235294	0.728972	0.5892857	0.6315789	0.7980769	0.7	0.6	0.7307692	0.7263158	0.7318841	0.7777778	0.7285714	0.5375	0.3612903	0.2181818	0.0973451	0.1047619	0.0603448	0.037037	0.0441176	0.0666667	0.0972222	0.0943396	0.0519481	0.0384615	0.08	0.0631579	0.0804598	0.15625	0.1304348	0.0892857	0.1134021	0.0857143	0.1029412	0.1333333	0.2043011	0.1625	0.2659574	0.4027778	0.4047619	0.3333333	0.5	0.5517241	0.5974026	0.6136364	0.5365854	0.7536232	0.6216216	
Mallard x American Black Duck (hybrid) (<em class="sci">Anas platyrhynchos x rubripes</em>)	0.0470588	0.0280374	0.0178571	0.0175439	0.0480769	0.0571429	0.0636364	0.0288462	0.0210526	0.0144928	0.0296296	0.0380952	0.01875	0.0	0.0090909	0.0088496	0.0190476	0.0	0.0	0.0	0.0	0.0138889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0147059	0.0	0.0107527	0.0	0.0	0.0138889	0.0238095	0.0	0.0	0.0114943	0.025974	0.0340909	0.0365854	0.0724638	0.0135135	
Mallard/American Black Duck (<em class="sci">Anas platyrhynchos/rubripes</em>)	0.0117647	0.0	0.0089286	0.0	0.0	0.0	0.0	0.0096154	0.0	0.0	0.0148148	0.0095238	0.01875	0.0	0.0	0.0176991	0.0095238	0.0172414	0.0	0.0	0.0	0.0138889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0079365	0.0	0.0	0.0	0.0	0.0113636	0.0121951	0.0289855	0.0	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.0	0.0186916	0.0089286	0.0614035	0.0576923	0.0428571	0.1272727	0.125	0.0421053	0.0942029	0.0592593	0.047619	0.05	0.0774194	0.0363636	0.0619469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0229885	0.0	0.0	0.0243902	0.0289855	0.0135135	
Green-winged Teal (<em class="sci">Anas crecca</em>)	0.0	0.0280374	0.0178571	0.0087719	0.0384615	0.0	0.0181818	0.0288462	0.0421053	0.0869565	0.1037037	0.0619048	0.0375	0.0129032	0.0181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0107527	0.0375	0.0425532	0.0	0.1031746	0.0246914	0.0487805	0.0229885	0.038961	0.0	0.0	0.0	0.0	
dabbling duck sp. (<em class="sci">Anatidae sp. (dabbling duck sp.)</em>)	0.0	0.0	0.0089286	0.0	0.0096154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106383	0.0	0.0	0.0123457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canvasback (<em class="sci">Aythya valisineria</em>)	0.0	0.0	0.0089286	0.0	0.0096154	0.0	0.0	0.0	0.0210526	0.0072464	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027027	
Redhead (<em class="sci">Aythya americana</em>)	0.0	0.0093458	0.0625	0.0087719	0.0192308	0.0428571	0.0090909	0.0192308	0.0105263	0.0217391	0.0148148	0.0142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked Duck (<em class="sci">Aythya collaris</em>)	0.0235294	0.0186916	0.0089286	0.0	0.0192308	0.0142857	0.0181818	0.0288462	0.0421053	0.0144928	0.0148148	0.0238095	0.00625	0.0064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0243902	0.0	0.0	0.0	0.0121951	0.0	0.0	
Greater Scaup (<em class="sci">Aythya marila</em>)	0.2823529	0.3738318	0.3392857	0.3684211	0.3365385	0.5857143	0.3363636	0.3942308	0.4421053	0.2826087	0.3259259	0.2952381	0.1625	0.1290323	0.0636364	0.0707965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0142857	0.0294118	0.04	0.0107527	0.0375	0.0	0.0138889	0.0	0.0246914	0.0609756	0.1264368	0.0649351	0.1136364	0.1341463	0.4782609	0.3378378	
Lesser Scaup (<em class="sci">Aythya affinis</em>)	0.1058824	0.0934579	0.1875	0.0614035	0.1057692	0.1142857	0.0636364	0.1153846	0.0947368	0.1014493	0.1925926	0.1380952	0.09375	0.0516129	0.0181818	0.0176991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0079365	0.0	0.0243902	0.0114943	0.038961	0.0454545	0.0121951	0.0724638	0.0810811	
Greater/Lesser Scaup (<em class="sci">Aythya marila/affinis</em>)	0.0470588	0.046729	0.0625	0.0964912	0.0576923	0.0571429	0.1	0.0673077	0.0421053	0.0724638	0.0296296	0.0333333	0.03125	0.0387097	0.0272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0079365	0.0123457	0.0121951	0.0344828	0.038961	0.0340909	0.0487805	0.0289855	0.0405405	
Aythya sp. (<em class="sci">Aythya sp.</em>)	0.0	0.0	0.0	0.0087719	0.0	0.0	0.0	0.0	0.0	0.0072464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0121951	0.0	0.0	
Surf Scoter (<em class="sci">Melanitta perspicillata</em>)	0.0	0.0015	0.0	0.0175439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0107527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-winged Scoter (<em class="sci">Melanitta deglandi</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012987	0.0340909	0.0	0.0	0.0	
