









Frequency of observations in the selected location(s).:
Number of taxa: 	349

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	154.0	132.0	127.0	126.0	78.0	56.0	114.0	111.0	103.0	101.0	148.0	186.0	118.0	82.0	63.0	86.0	50.0	89.0	48.0	40.0	23.0	37.0	32.0	51.0	34.0	37.0	39.0	55.0	42.0	54.0	67.0	161.0	85.0	85.0	72.0	111.0	113.0	117.0	122.0	172.0	65.0	80.0	126.0	222.0	116.0	76.0	109.0	126.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0844156	0.0454545	0.0472441	0.0634921	0.025641	0.0357143	0.0964912	0.1261261	0.0970874	0.019802	0.0405405	0.0322581	0.0084746	0.0	0.047619	0.0232558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036036	0.079646	0.0	0.0015	0.005814	0.0	0.0	0.0	0.018018	0.0948276	0.0526316	0.0917431	0.0714286	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0	0.0	0.007874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015873	0.0045045	0.0086207	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.7922078	0.8333333	0.7716535	0.7619048	0.7564103	0.7678571	0.8859649	0.8198198	0.7864078	0.9009901	0.7432432	0.8763441	0.9491525	0.8780488	0.8730159	0.8604651	0.82	0.7752809	0.8333333	0.775	0.3043478	0.2162162	0.1875	0.0980392	0.0294118	0.1081081	0.025641	0.0	0.047619	0.0	0.0	0.0186335	0.0117647	0.0	0.0138889	0.027027	0.1415929	0.4871795	0.3688525	0.7732558	0.7384615	0.7625	0.7301587	0.6666667	0.8103448	0.7236842	0.7614679	0.7777778	
Snow Goose x Brant (hybrid) (<em class="sci">Anser caerulescens x Branta bernicla</em>)	0.0064935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009009	0.0086207	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.7662338	0.7954545	0.8503937	0.8333333	0.8205128	0.8035714	0.8947368	0.8828829	0.8737864	0.9405941	0.9054054	0.9462366	0.8983051	0.8780488	0.8412698	0.7325581	0.66	0.6179775	0.7083333	0.675	0.7391304	0.5135135	0.4375	0.4313725	0.3823529	0.5675676	0.5641026	0.8	0.8571429	0.9074074	0.8059701	0.7453416	0.7764706	0.7529412	0.8333333	0.6756757	0.7876106	0.7350427	0.557377	0.7093023	0.4	0.5125	0.4920635	0.6081081	0.8189655	0.7631579	0.8165138	0.8095238	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0064935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009901	0.0	0.0	0.0	0.0121951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0124224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0116279	0.0	0.0	0.0	0.0	0.0	0.0	0.0091743	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0454545	0.0757576	0.0787402	0.0396825	0.1794872	0.1785714	0.0701754	0.1171171	0.0679612	0.1287129	0.1486486	0.1021505	0.1864407	0.195122	0.2063492	0.1511628	0.08	0.1011236	0.0833333	0.125	0.2173913	0.1351351	0.1875	0.1568627	0.0588235	0.0810811	0.025641	0.0181818	0.047619	0.0	0.0149254	0.0186335	0.0235294	0.0588235	0.0555556	0.045045	0.0353982	0.0769231	0.0409836	0.0697674	0.0461538	0.025	0.0555556	0.0315315	0.0344828	0.0657895	0.0825688	0.0396825	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045045	0.0	0.0	0.0	0.0	
swan sp. (<em class="sci">Cygnus sp.</em>)	0.0	0.0151515	0.0	0.0	0.0	0.0	0.0175439	0.018018	0.0	0.0	0.0067568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045045	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0075758	0.0	0.0	0.0	0.0	0.0263158	0.0720721	0.0873786	0.0891089	0.1081081	0.1236559	0.1355932	0.1585366	0.0793651	0.0930233	0.08	0.1685393	0.1041667	0.05	0.0869565	0.3243243	0.09375	0.0784314	0.0294118	0.0810811	0.025641	0.0363636	0.0	0.0	0.0447761	0.068323	0.0941176	0.0352941	0.0138889	0.018018	0.0088496	0.042735	0.0409836	0.0581395	0.0769231	0.0625	0.0238095	0.0135135	0.0	0.0	0.0	0.0	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0540541	0.0913978	0.0084746	0.1585366	0.1428571	0.0465116	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062112	0.0117647	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0519481	0.0454545	0.0314961	0.0079365	0.0128205	0.0178571	0.0526316	0.0540541	0.1456311	0.1782178	0.2837838	0.188172	0.2118644	0.1341463	0.0634921	0.0116279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0081967	0.0	0.0769231	0.0375	0.0015	0.0135135	0.0086207	0.0	0.0	0.015873	
Gadwall (<em class="sci">Mareca strepera</em>)	0.0974026	0.1363636	0.1023622	0.0952381	0.0769231	0.125	0.1666667	0.1081081	0.1456311	0.1386139	0.0743243	0.0698925	0.0677966	0.0365854	0.015873	0.0232558	0.0	0.011236	0.0208333	0.025	0.0	0.027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0138889	0.009009	0.0088496	0.034188	0.0163934	0.0116279	0.0461538	0.025	0.0238095	0.009009	0.0172414	0.0789474	0.0550459	0.0555556	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.0	0.0075758	0.0	0.0	0.0384615	0.0357143	0.0350877	0.0	0.0097087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
American Wigeon (<em class="sci">Mareca americana</em>)	0.2272727	0.3560606	0.1889764	0.3095238	0.3461538	0.4464286	0.3421053	0.3063063	0.2621359	0.3069307	0.1891892	0.1290323	0.0847458	0.0365854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0138889	0.0	0.0176991	0.008547	0.0163934	0.0	0.0307692	0.025	0.047619	0.0315315	0.112069	0.1184211	0.2110092	0.1269841	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.1948052	0.2272727	0.1732283	0.1587302	0.1923077	0.2142857	0.2631579	0.4144144	0.3883495	0.4059406	0.5067568	0.6075269	0.6016949	0.6585366	0.6984127	0.6627907	0.66	0.6629213	0.5625	0.65	0.5217391	0.6486486	0.65625	0.3529412	0.2941176	0.3513514	0.1794872	0.1454545	0.047619	0.0185185	0.0298507	0.0186335	0.0705882	0.1411765	0.1111111	0.0990991	0.1681416	0.2222222	0.1065574	0.2790698	0.2769231	0.3125	0.2142857	0.1531532	0.2413793	0.25	0.2385321	0.1904762	
American Black Duck (<em class="sci">Anas rubripes</em>)	0.3961039	0.5151515	0.3779528	0.3968254	0.3974359	0.5178571	0.4035088	0.4324324	0.4563107	0.4059406	0.277027	0.2741935	0.2542373	0.1707317	0.1269841	0.1511628	0.2	0.0449438	0.0625	0.1	0.1304348	0.1351351	0.03125	0.0196078	0.0588235	0.027027	0.0	0.0181818	0.0	0.0185185	0.0298507	0.0434783	0.0117647	0.0235294	0.0138889	0.036036	0.079646	0.0854701	0.0819672	0.1162791	0.2153846	0.1375	0.1269841	0.1261261	0.25	0.3815789	0.5229358	0.3333333	
Mallard x American Black Duck (hybrid) (<em class="sci">Anas platyrhynchos x rubripes</em>)	0.0	0.0075758	0.007874	0.0	0.0128205	0.0178571	0.0	0.009009	0.0	0.029703	0.0067568	0.0215054	0.0	0.0243902	0.015873	0.0232558	0.04	0.011236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0138889	0.0	0.0	0.0	0.0	0.005814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard/American Black Duck (<em class="sci">Anas platyrhynchos/rubripes</em>)	0.0064935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0135135	0.0053763	0.0084746	0.0	0.0	0.0116279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0181818	0.0	0.0185185	0.0149254	0.0062112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005814	0.0	0.0	0.0079365	0.0	0.0172414	0.0	0.0091743	0.0079365	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.0	0.0075758	0.007874	0.0	0.0	0.0178571	0.0	0.0	0.0097087	0.019802	0.0135135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0174419	0.0	0.0125	0.0	0.0045045	0.0086207	0.0131579	0.0	0.0079365	
Green-winged Teal (<em class="sci">Anas crecca</em>)	0.0	0.0075758	0.0	0.0079365	0.0128205	0.0	0.0087719	0.009009	0.0873786	0.1089109	0.0878378	0.188172	0.2288136	0.195122	0.1269841	0.0930233	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0555556	0.0630631	0.0619469	0.0940171	0.0327869	0.1104651	0.1692308	0.0875	0.0873016	0.018018	0.0603448	0.0131579	0.0091743	0.0	
dabbling duck sp. (<em class="sci">Anatidae sp. (dabbling duck sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0117647	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0079365	
Canvasback (<em class="sci">Aythya valisineria</em>)	0.0064935	0.0	0.0	0.0	0.0	0.0	0.0087719	0.0	0.0	0.0	0.0067568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Redhead (<em class="sci">Aythya americana</em>)	0.0194805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked Duck (<em class="sci">Aythya collaris</em>)	0.0064935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0215054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0079365	
Greater Scaup (<em class="sci">Aythya marila</em>)	0.2662338	0.3030303	0.2440945	0.1984127	0.2820513	0.3392857	0.2631579	0.2072072	0.223301	0.1188119	0.0878378	0.0322581	0.0	0.0243902	0.0	0.0116279	0.0	0.011236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0079365	0.0135135	0.0258621	0.0789474	0.1651376	0.1984127	
