









Frequency of observations in the selected location(s).:
Number of taxa: 	322

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	36.0	19.0	32.0	40.0	30.0	21.0	29.0	24.0	25.0	38.0	38.0	64.0	49.0	48.0	52.0	48.0	35.0	45.0	56.0	56.0	31.0	15.0	16.0	19.0	17.0	28.0	34.0	27.0	21.0	22.0	21.0	42.0	37.0	26.0	48.0	52.0	32.0	45.0	63.0	72.0	43.0	43.0	32.0	48.0	19.0	27.0	33.0	26.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0535714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0833333	0.0526316	0.0625	0.1	0.0333333	0.047619	0.0	0.0416667	0.0	0.0	0.0263158	0.015625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.037037	0.0606061	0.0384615	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0526316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.8055556	0.9473684	0.90625	0.875	0.9333333	0.952381	0.9310345	0.9583333	0.92	0.8157895	0.9473684	0.96875	0.8979592	0.9375	0.8269231	0.9791667	1.0	0.9111111	0.8035714	0.5892857	0.0967742	0.0666667	0.125	0.1578947	0.1176471	0.0357143	0.1176471	0.1111111	0.0	0.1363636	0.047619	0.0238095	0.027027	0.0384615	0.0625	0.1346154	0.1875	0.5777778	0.8888889	1.0	1.0	0.9767442	0.90625	0.9166667	1.0	1.0	0.9090909	0.8461538	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.8611111	1.0	0.90625	0.95	0.8333333	0.7142857	0.862069	0.7916667	0.88	0.6578947	0.8421053	0.59375	0.6326531	0.6875	0.5961538	0.6875	0.6571429	0.5333333	0.4464286	0.6428571	0.6774194	0.6	0.25	0.0526316	0.1764706	0.1428571	0.2058824	0.4074074	0.3809524	0.3636364	0.6190476	0.6666667	0.5405405	0.8076923	0.5833333	0.6730769	0.5625	0.6888889	0.5873016	0.5277778	0.6744186	0.6976744	0.75	0.8125	0.8421053	0.7777778	0.7878788	0.8461538	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.5555556	0.5789474	0.5625	0.525	0.5	0.4761905	0.6896552	0.625	0.36	0.3421053	0.3684211	0.328125	0.4081633	0.2708333	0.2884615	0.5208333	0.3428571	0.3555556	0.4464286	0.5714286	0.6774194	0.6666667	0.5	0.5789474	0.7058824	0.5	0.5	0.3703704	0.3809524	0.6363636	0.4285714	0.5	0.5675676	0.7307692	0.6875	0.6153846	0.75	0.4444444	0.6825397	0.5555556	0.5813953	0.5813953	0.6875	0.5625	0.6842105	0.7407407	0.6666667	0.5769231	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0526316	0.0	0.0	0.0	0.0	0.0344828	0.125	0.12	0.0789474	0.0789474	0.0625	0.0612245	0.0416667	0.0576923	0.0416667	0.0285714	0.0444444	0.0178571	0.0	0.0	0.2	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047619	0.0	0.0	0.0	0.0	0.0384615	0.125	0.0444444	0.1428571	0.0972222	0.1395349	0.0465116	0.0625	0.0625	0.0	0.0	0.0	0.0	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0416667	0.0192308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0222222	0.015873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0277778	0.0526316	0.03125	0.0	0.0	0.0	0.0344828	0.0416667	0.0	0.0263158	0.0526316	0.0015	0.0204082	0.0416667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0444444	0.0	0.0	0.0	0.0	0.0	0.0	0.1052632	0.037037	0.0606061	0.0384615	
Gadwall (<em class="sci">Mareca strepera</em>)	0.8888889	1.0	0.8125	0.8	0.6666667	0.9047619	0.7931034	0.8333333	0.84	0.5789474	0.7894737	0.59375	0.4693878	0.3958333	0.25	0.1041667	0.0571429	0.0444444	0.0178571	0.0	0.0322581	0.0666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0208333	0.0192308	0.0	0.0444444	0.1111111	0.1527778	0.1860465	0.372093	0.5625	0.5833333	0.7368421	0.8148148	0.6363636	0.6923077	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0204082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Wigeon (<em class="sci">Mareca americana</em>)	0.6111111	0.8421053	0.65625	0.65	0.5333333	0.7619048	0.5862069	0.5416667	0.6	0.3947368	0.5526316	0.390625	0.2857143	0.125	0.0576923	0.0208333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0576923	0.03125	0.0888889	0.0634921	0.2361111	0.2790698	0.372093	0.5625	0.6875	0.6315789	0.6666667	0.4242424	0.4615385	
Eurasian x American Wigeon (hybrid) (<em class="sci">Mareca penelope x americana</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.8888889	1.0	0.84375	0.875	0.8666667	0.8571429	1.0	0.9166667	0.84	0.7894737	0.7631579	0.71875	0.6938776	0.7291667	0.6538462	0.7083333	0.6857143	0.7555556	0.7321429	0.7142857	0.9032258	1.0	0.75	0.6842105	0.7647059	0.7142857	0.6470588	0.4814815	0.4285714	0.5909091	0.5238095	0.6428571	0.6756757	0.6923077	0.625	0.6730769	0.71875	0.6888889	0.5873016	0.7777778	0.9069767	0.8139535	0.78125	0.875	1.0	0.8888889	0.7878788	0.8846154	
