









Frequency of observations in the selected location(s).:
Number of taxa: 	329

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	74.0	70.0	64.0	77.0	59.0	62.0	92.0	76.0	69.0	79.0	79.0	148.0	138.0	121.0	95.0	180.0	224.0	225.0	200.0	141.0	49.0	46.0	44.0	46.0	42.0	47.0	50.0	67.0	44.0	60.0	56.0	154.0	168.0	158.0	241.0	233.0	163.0	157.0	117.0	125.0	63.0	120.0	66.0	166.0	77.0	67.0	61.0	115.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.027027	0.0142857	0.015625	0.012987	0.0169492	0.0	0.0108696	0.0131579	0.0144928	0.0	0.0126582	0.027027	0.0144928	0.0165289	0.0015	0.0055556	0.0015	0.0088889	0.0015	0.0	0.0015	0.0217391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.008547	0.008	0.0015	0.0015	0.0	0.0	0.025974	0.0298507	0.0	0.0521739	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0318471	0.025641	0.04	0.015873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0135135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025641	0.0	0.0	0.0	0.030303	0.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.6351351	0.6571429	0.71875	0.6103896	0.6949153	0.7741935	0.8369565	0.8421053	0.8985507	0.9240506	0.9493671	0.9459459	0.942029	0.9256198	0.9578947	0.9277778	0.9464286	0.9333333	0.925	0.9148936	0.8979592	0.826087	0.8636364	0.8478261	0.8571429	0.9148936	0.84	0.7910448	0.7727273	0.6833333	0.6607143	0.7012987	0.7916667	0.8037975	0.7510373	0.8369099	0.8588957	0.9044586	0.8888889	0.896	0.9206349	0.875	0.8181818	0.6807229	0.6363636	0.7462687	0.7377049	0.7565217	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0135135	0.0	0.0	0.0015	0.0015	0.0	0.0108696	0.0394737	0.0144928	0.0253165	0.0126582	0.0	0.0	0.0082645	0.0	0.0111111	0.0044643	0.0015	0.005	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0149254	0.0	0.0	0.0	0.0	0.0059524	0.0	0.0	0.0085837	0.0015	0.0127389	0.025641	0.008	0.0	0.0083333	0.0151515	0.0	0.0	0.0	0.0	0.026087	
Trumpeter Swan (<em class="sci">Cygnus buccinator</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178571	0.0755556	0.04	0.0425532	0.0204082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0131579	0.0	0.0126582	0.0	0.0067568	0.0	0.0	0.0	0.0055556	0.0044643	0.0088889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.1060606	0.0180723	0.1298701	0.0149254	0.0	0.0086957	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0142857	0.0015	0.0	0.0015	0.0	0.0434783	0.0657895	0.0869565	0.1898734	0.2405063	0.2905405	0.3115942	0.2396694	0.1684211	0.1666667	0.15625	0.1066667	0.165	0.1843972	0.3265306	0.173913	0.1363636	0.1086957	0.1904762	0.1489362	0.14	0.119403	0.1363636	0.25	0.1785714	0.1753247	0.1845238	0.1392405	0.1369295	0.193133	0.1411043	0.2229299	0.1709402	0.232	0.1111111	0.1166667	0.0454545	0.0120482	0.0	0.0	0.0163934	0.0086957	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144928	0.0	0.0	0.0067568	0.0869565	0.0826446	0.2421053	0.0722222	0.0178571	0.0222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.038961	0.0416667	0.0632911	0.0705394	0.1201717	0.0613497	0.089172	0.0598291	0.0	0.0	0.0083333	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0135135	0.0142857	0.046875	0.0015	0.0	0.0	0.0	0.1184211	0.1014493	0.0759494	0.0632911	0.0945946	0.1086957	0.0247934	0.0421053	0.0222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178571	0.0316456	0.0456432	0.0214592	0.0490798	0.0636943	0.034188	0.064	0.0793651	0.025	0.0151515	0.0180723	0.0	0.0298507	0.0163934	0.0	
Gadwall (<em class="sci">Mareca strepera</em>)	0.027027	0.0015	0.0	0.012987	0.0169492	0.0	0.1413043	0.0657895	0.057971	0.0632911	0.0759494	0.0743243	0.0942029	0.0991736	0.1263158	0.0222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059524	0.0	0.0	0.0085837	0.0184049	0.0573248	0.017094	0.08	0.1111111	0.1333333	0.1212121	0.0662651	0.1168831	0.0149254	0.0491803	0.0347826	
American Wigeon (<em class="sci">Mareca americana</em>)	0.0	0.0	0.03125	0.0	0.0	0.0	0.0652174	0.0657895	0.0289855	0.0759494	0.1012658	0.0608108	0.0072464	0.0082645	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0194805	0.0	0.0063291	0.0	0.0472103	0.0245399	0.0254777	0.008547	0.008	0.0	0.0166667	0.0015	0.0015	0.0	0.0	0.0327869	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.527027	0.5428571	0.5625	0.4805195	0.5254237	0.6129032	0.5978261	0.7763158	0.7826087	0.8734177	0.8860759	0.8986486	0.8768116	0.8099174	0.8842105	0.85	0.7633929	0.7911111	0.82	0.7801418	0.8163265	0.7173913	0.7954545	0.7173913	0.6904762	0.6595745	0.54	0.5820896	0.5454545	0.4833333	0.5178571	0.474026	0.4761905	0.5063291	0.4439834	0.5064378	0.5705521	0.611465	0.6752137	0.656	0.6349206	0.6	0.6969697	0.3855422	0.5194805	0.6268657	0.6393443	0.6608696	
