









Frequency of observations in the selected location(s).:
Number of taxa: 	190

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Mourning Dove (<em class="sci">Zenaida macroura</em>)	0.6	0.5833333	0.72	0.6470588	0.3666667	0.5740741	0.7333333	0.6451613	0.7142857	0.7083333	0.7368421	0.53125	0.8095238	0.7142857	0.5	0.6190476	0.7058824	0.8	0.7307692	0.7916667	0.7142857	0.6875	1.0	0.8235294	1.0	0.8333333	0.6666667	0.7	0.6666667	1.0	0.7857143	0.8888889	0.6666667	0.8235294	0.8	0.5454545	0.5789474	0.5925926	0.6666667	0.5952381	0.71875	0.7368421	1.0	0.7142857	0.7857143	0.875	0.8571429	0.8571429	
Yellow-billed Cuckoo (<em class="sci">Coccyzus americanus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0588235	0.16	0.0384615	0.0416667	0.0952381	0.0	0.0	0.0588235	0.2	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0740741	0.0833333	0.0	0.05	0.0909091	0.1052632	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-billed Cuckoo (<em class="sci">Coccyzus erythropthalmus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2352941	0.08	0.0769231	0.0015	0.047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
cuckoo sp. (Cuculidae sp.) (<em class="sci">Cuculidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Nighthawk (<em class="sci">Chordeiles minor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0588235	0.04	0.1153846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1851852	0.1666667	0.3529412	0.05	0.1363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chimney Swift (<em class="sci">Chaetura pelagica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1904762	0.3529412	0.6	0.3846154	0.4583333	0.5238095	0.625	0.7058824	0.6470588	0.6	1.0	0.8333333	0.7	0.7777778	0.6	0.7857143	0.5185185	0.75	0.7647059	0.75	0.5909091	0.7368421	0.4814815	0.3333333	0.0714286	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruby-throated Hummingbird (<em class="sci">Archilochus colubris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1764706	0.44	0.2307692	0.4583333	0.5238095	0.5	0.5882353	0.6470588	0.6	0.3333333	0.1666667	0.5	0.6666667	1.0	0.8571429	0.8148148	0.5	0.5882353	0.2	0.1363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hummingbird sp. (<em class="sci">Trochilidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Woodcock (<em class="sci">Scolopax minor</em>)	0.0	0.0	0.04	0.0	0.0	0.0	0.0888889	0.516129	0.3214286	0.25	0.1578947	0.40625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0333333	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Solitary Sandpiper (<em class="sci">Tringa solitaria</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-billed Gull (<em class="sci">Larus delawarensis</em>)	0.0666667	0.0	0.04	0.0294118	0.0666667	0.037037	0.0	0.0	0.0357143	0.0	0.1052632	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	
Herring Gull (<em class="sci">Larus argentatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.25	0.0	0.0	0.0	0.0	0.0	
Great Black-backed Gull (<em class="sci">Larus marinus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	
gull sp. (<em class="sci">Larinae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0714286	0.0	0.0	0.0	
Double-crested Cormorant (<em class="sci">Phalacrocorax auritus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0222222	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0588235	0.0	0.0	0.0	0.0	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0714286	0.0	0.0	0.0	
Great Blue Heron (<em class="sci">Ardea herodias</em>)	0.0666667	0.0	0.0	0.0	0.0	0.0185185	0.0222222	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.25	0.0	0.0	0.04	0.0384615	0.0	0.047619	0.0	0.1176471	0.0588235	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.1111111	0.0	0.0	0.05	0.0454545	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.0714286	0.0714286	0.125	0.0	0.0	
