









Frequency of observations in the selected location(s).:
Number of taxa: 	299

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	137.0	100.0	84.0	93.0	36.0	55.0	105.0	83.0	119.0	265.0	250.0	301.0	240.0	192.0	272.0	305.0	285.0	257.0	227.0	126.0	65.0	35.0	23.0	29.0	25.0	37.0	18.0	22.0	23.0	39.0	57.0	131.0	129.0	133.0	187.0	196.0	167.0	129.0	152.0	218.0	149.0	138.0	231.0	194.0	72.0	57.0	56.0	96.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0015	0.0	0.0119048	0.0107527	0.0277778	0.0	0.0	0.0120482	0.0084034	0.0	0.016	0.0066445	0.0041667	0.0104167	0.0073529	0.0098361	0.0070175	0.0155642	0.0088106	0.015873	0.0	0.0	0.0434783	0.0	0.0	0.027027	0.0	0.0	0.0	0.0	0.0175439	0.0	0.0	0.0	0.0	0.0	0.011976	0.0	0.0	0.0045872	0.0067114	0.0072464	0.0015	0.0103093	0.0	0.0175439	0.0357143	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041667	0.0	0.0	0.0032787	0.0	0.0	0.0	0.0079365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0077519	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.0072993	0.0	0.0	0.0	0.0	0.0	0.0	0.0120482	0.0015	0.0037736	0.004	0.0033223	0.0125	0.0	0.0073529	0.0163934	0.0035088	0.0	0.0088106	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005102	0.0179641	0.0015	0.0263158	0.0091743	0.0	0.0072464	0.0	0.0	0.0	0.0175439	0.0178571	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.7372263	0.61	0.5357143	0.7096774	0.6666667	0.6545455	0.8	0.6746988	0.7394958	0.7924528	0.804	0.7873754	0.775	0.7447917	0.7720588	0.7540984	0.7017544	0.7003891	0.6696035	0.6349206	0.6	0.4285714	0.4782609	0.4137931	0.4	0.2972973	0.4444444	0.5	0.4347826	0.7948718	0.6315789	0.7175573	0.7364341	0.6766917	0.7112299	0.7040816	0.7844311	0.6899225	0.7236842	0.7110092	0.7114094	0.7391304	0.5930736	0.7010309	0.6388889	0.754386	0.75	0.6770833	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004329	0.0	0.0	0.0175439	0.0	0.0	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0083333	0.0	0.0	0.0	0.0035088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0102041	0.0	0.0	0.0065789	0.0045872	0.0	0.0	0.0	0.0	0.0	0.0175439	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0218978	0.08	0.0	0.1290323	0.0	0.0	0.0	0.0120482	0.0504202	0.2603774	0.172	0.2657807	0.3	0.1770833	0.1470588	0.0262295	0.0877193	0.07393	0.0	0.0	0.0	0.0285714	0.0	0.0	0.0	0.027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0077519	0.0075188	0.0106952	0.0306122	0.0	0.0	0.0	0.0	0.0067114	0.0	0.0	0.0	0.0	0.0	0.0	0.0416667	
swan sp. (<em class="sci">Cygnus sp.</em>)	0.0	0.0	0.0	0.0107527	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.01	0.0	0.0	0.0	0.0363636	0.0285714	0.0843373	0.0504202	0.0981132	0.104	0.1528239	0.0625	0.0677083	0.0808824	0.0983607	0.0350877	0.0272374	0.0660793	0.0	0.0153846	0.0285714	0.0	0.0344828	0.0	0.0	0.0	0.0454545	0.0869565	0.0512821	0.0175439	0.0305344	0.0	0.0	0.026738	0.0204082	0.1317365	0.0930233	0.1118421	0.0917431	0.1946309	0.1594203	0.0822511	0.1082474	0.0416667	0.0	0.0535714	0.0	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0083333	0.0	0.0110294	0.0065574	0.0035088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0364964	0.01	0.0238095	0.0322581	0.0277778	0.0181818	0.0285714	0.0	0.0168067	0.0264151	0.144	0.1328904	0.0	0.0052083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075188	0.0053476	0.0	0.0	0.0	0.0263158	0.0045872	0.033557	0.0362319	0.04329	0.0670103	0.0694444	0.0175439	0.0178571	0.0	
Gadwall (<em class="sci">Mareca strepera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0095238	0.0	0.0	0.0037736	0.004	0.0	0.0	0.0	0.0073529	0.0032787	0.0035088	0.0038911	0.0088106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005102	0.0	0.0	0.0	0.0	0.0	0.0	0.004329	0.0	0.0138889	0.0175439	0.0	0.0	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178571	0.0	
American Wigeon (<em class="sci">Mareca americana</em>)	0.0	0.0	0.0119048	0.0107527	0.0277778	0.0	0.0095238	0.0120482	0.0168067	0.0113208	0.0	0.0066445	0.0	0.0052083	0.0073529	0.0098361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0077519	0.0	0.0	0.0134228	0.0	0.0	0.0103093	0.0138889	0.0175439	0.0892857	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.5182482	0.27	0.3571429	0.2043011	0.3333333	0.2	0.4190476	0.4578313	0.4033613	0.5396226	0.508	0.6744186	0.6958333	0.6875	0.7058824	0.6262295	0.6385965	0.5836576	0.4889868	0.4603175	0.4615385	0.4285714	0.3913043	0.2758621	0.2	0.0540541	0.0555556	0.1363636	0.2608696	0.0769231	0.1052632	0.0687023	0.0697674	0.0676692	0.0534759	0.1020408	0.0778443	0.1162791	0.1842105	0.2614679	0.3489933	0.4782609	0.4891775	0.5876289	0.625	0.5964912	0.3571429	0.5	
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Black Duck (<em class="sci">Anas rubripes</em>)	0.0875912	0.01	0.1071429	0.0537634	0.1111111	0.0181818	0.1047619	0.0843373	0.1176471	0.1773585	0.164	0.2292359	0.1875	0.1614583	0.1176471	0.1213115	0.1122807	0.07393	0.061674	0.0873016	0.0153846	0.0285714	0.0	0.0	0.04	0.0	0.0	0.0909091	0.0434783	0.0	0.0350877	0.0305344	0.0077519	0.037594	0.0160428	0.0408163	0.0299401	0.0232558	0.1052632	0.0458716	0.0805369	0.0434783	0.0562771	0.1030928	0.2222222	0.1578947	0.1071429	0.0416667	
Mallard x American Black Duck (hybrid) (<em class="sci">Anas platyrhynchos x rubripes</em>)	0.0291971	0.01	0.0357143	0.0107527	0.0	0.0	0.0380952	0.0722892	0.0756303	0.0641509	0.132	0.1395349	0.1291667	0.0677083	0.1029412	0.095082	0.0561404	0.0894942	0.0660793	0.0238095	0.0461538	0.0015	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0155039	0.0065789	0.0091743	0.0201342	0.0434783	0.030303	0.0257732	0.0416667	0.0526316	0.0357143	0.0416667	
Mallard/American Black Duck (<em class="sci">Anas platyrhynchos/rubripes</em>)	0.0	0.01	0.0119048	0.0	0.0	0.0	0.0	0.0	0.0084034	0.0150943	0.016	0.0033223	0.0083333	0.0104167	0.0	0.0098361	0.0070175	0.0	0.0044053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076336	0.0	0.0	0.0	0.005102	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0077519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Green-winged Teal (<em class="sci">Anas crecca</em>)	0.0	0.0	0.0	0.0	0.0	0.0545455	0.0	0.0	0.0	0.0037736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106952	0.0	0.0	0.0077519	0.0	0.0045872	0.0067114	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp. (<em class="sci">Anatidae sp. (dabbling duck sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0045872	0.0	0.0	0.0	0.0	0.0	0.0	0.0178571	0.0208333	
Canvasback (<em class="sci">Aythya valisineria</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Redhead (<em class="sci">Aythya americana</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.0332226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
