









Frequency of observations in the selected location(s).:
Number of taxa: 	371

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	601.0	325.0	287.0	367.0	258.0	285.0	345.0	336.0	391.0	479.0	515.0	745.0	811.0	715.0	889.0	1312.0	1364.0	1170.0	922.0	603.0	182.0	99.0	88.0	122.0	85.0	79.0	83.0	145.0	123.0	173.0	248.0	561.0	461.0	489.0	573.0	615.0	469.0	464.0	451.0	485.0	325.0	282.0	296.0	360.0	312.0	238.0	262.0	363.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0532446	0.0184615	0.0383275	0.0326975	0.0348837	0.0280702	0.0318841	0.0446429	0.0306905	0.0438413	0.0601942	0.0241611	0.0172626	0.0531469	0.0371204	0.0487805	0.0271261	8.547E-4	0.0238612	0.0232172	0.0054945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001626	0.0042644	0.0172414	0.0177384	0.0	0.0	0.0035461	0.0033784	0.0027778	0.0032051	0.012605	0.0839695	0.0964187	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0035088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.331E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030769	0.0	0.0	0.0	0.0032051	0.0	0.0	0.0027548	
Brant (<em class="sci">Branta bernicla</em>)	0.0049917	0.0	0.010453	0.013624	0.0	0.0105263	0.0086957	0.0089286	0.0127877	0.0146138	0.0135922	0.0053691	0.0098644	0.0	0.0022497	0.0060976	0.0036657	0.0034188	0.0021692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017825	0.0	0.0	0.0	0.0065041	0.0	0.0215517	0.0177384	0.0268041	0.0092308	0.0106383	0.0	0.0015	0.0096154	0.0042017	0.0038168	0.0027548	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0329897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0	0.0	0.0	0.0027248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0472973	0.0194444	0.0	0.0084034	0.0038168	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.7071547	0.6892308	0.6689895	0.6948229	0.6744186	0.7403509	0.7246377	0.7678571	0.7800512	0.743215	0.7980583	0.790604	0.8212084	0.7314685	0.6906637	0.7103659	0.6055718	0.5487179	0.4848156	0.4527363	0.4835165	0.4848485	0.3068182	0.3852459	0.3529412	0.2278481	0.2409639	0.4689655	0.4308943	0.5028902	0.4798387	0.4955437	0.5509761	0.609407	0.6317627	0.6341463	0.6162047	0.6099138	0.6407982	0.6391753	0.6615385	0.6914894	0.7027027	0.6555556	0.6891026	0.6932773	0.6564885	0.6804408	
Domestic goose sp. (Domestic type) x Canada Goose (hybrid) (<em class="sci">Anser sp. (Domestic type) x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017452	0.0	0.0	0.0	0.0	0.0020619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow x Canada Goose (hybrid) (<em class="sci">Anser caerulescens x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
