









Frequency of observations in the selected location(s).:
Number of taxa: 	312

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	15.0	17.0	32.0	25.0	14.0	13.0	38.0	17.0	17.0	21.0	29.0	47.0	32.0	24.0	43.0	55.0	51.0	78.0	111.0	280.0	123.0	65.0	46.0	57.0	38.0	66.0	99.0	195.0	188.0	172.0	145.0	181.0	103.0	61.0	35.0	79.0	124.0	84.0	46.0	91.0	42.0	53.0	26.0	32.0	10.0	12.0	21.0	12.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0263158	0.0	0.1176471	0.047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0119048	0.0	0.0	0.0	0.0	0.0384615	0.0	0.1	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0263158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.8666667	0.9411765	0.84375	0.84	1.0	1.0	0.9736842	0.9411765	0.9411765	0.952381	0.9310345	0.893617	0.875	0.9583333	0.9534884	0.9454545	1.0	0.9871795	0.9279279	0.8035714	0.6829268	0.3692308	0.1304348	0.0526316	0.0263158	0.0606061	0.010101	0.0153846	0.0	0.005814	0.0413793	0.0165746	0.0	0.0327869	0.0	0.0886076	0.2096774	0.547619	0.7173913	0.956044	0.9761905	0.9245283	1.0	1.0	1.0	1.0	0.9047619	0.9166667	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.3333333	0.5294118	0.34375	0.48	0.5714286	0.5384615	0.7368421	0.4705882	0.4705882	0.3333333	0.3793103	0.4680851	0.34375	0.3333333	0.3488372	0.3090909	0.3529412	0.2564103	0.2972973	0.4285714	0.3170732	0.3538462	0.4130435	0.4385965	0.2631579	0.2272727	0.1818182	0.2102564	0.3191489	0.377907	0.3862069	0.4309392	0.5048544	0.5409836	0.3428571	0.4050633	0.5403226	0.547619	0.5434783	0.3846154	0.5	0.509434	0.6538462	0.5625	0.8	0.6666667	0.4761905	0.3333333	
Branta sp. (<em class="sci">Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.2	0.4705882	0.46875	0.36	0.5	0.4615385	0.3157895	0.5294118	0.4705882	0.4285714	0.5172414	0.5744681	0.40625	0.5416667	0.5813953	0.6181818	0.4901961	0.3205128	0.4144144	0.4285714	0.3577236	0.3538462	0.2391304	0.2105263	0.3421053	0.2727273	0.2222222	0.1025641	0.1117021	0.1569767	0.1517241	0.2154696	0.3786408	0.3606557	0.3428571	0.3291139	0.4354839	0.2619048	0.2826087	0.2527473	0.2857143	0.2830189	0.5	0.28125	0.2	0.3333333	0.7142857	0.4166667	
swan sp. (<em class="sci">Cygnus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0	0.0	0.0	0.0465116	0.0181818	0.0	0.0	0.009009	0.0035714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0097087	0.0	0.0	0.0126582	0.0241935	0.0238095	0.0217391	0.010989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165746	0.0097087	0.0	0.0	0.0126582	0.016129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0638298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0153846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068966	0.0	0.0	0.0327869	0.0	0.0	0.0	0.0119048	0.0217391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
