









Frequency of observations in the selected location(s).:
Number of taxa: 	372

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	324.0	309.0	238.0	250.0	188.0	188.0	230.0	215.0	202.0	332.0	362.0	467.0	350.0	358.0	418.0	620.0	621.0	590.0	448.0	398.0	183.0	175.0	148.0	182.0	158.0	159.0	188.0	366.0	260.0	233.0	194.0	356.0	292.0	280.0	321.0	374.0	277.0	315.0	199.0	228.0	215.0	234.0	204.0	298.0	220.0	160.0	144.0	287.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0437158	0.0	0.0	0.0	0.0	0.0	0.0691489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0061728	0.0291262	0.0084034	0.024	0.037234	0.0106383	0.0043478	0.0372093	0.0049505	0.0180723	0.0165746	0.0214133	0.0028571	0.0167598	0.0047847	0.0	0.0064412	0.0220339	0.0089286	0.0125628	0.010929	0.0114286	0.0	0.0054945	0.0189873	0.0	0.0265957	0.0163934	0.0153846	0.0343348	0.0463918	0.0224719	0.0136986	0.0	0.0031153	0.0106952	0.0505415	0.0285714	0.0251256	0.0263158	0.0186047	0.017094	0.0196078	0.0167785	0.05	0.08125	0.0208333	0.0313589	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033557	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0042017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027624	0.0	0.0	0.0027933	0.0	0.0	0.0016103	0.0016949	0.0	0.0025126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026738	0.0	0.0	0.0	0.004386	0.0046512	0.008547	0.0	0.0	0.0045455	0.0	0.0	0.0069686	
Brant (<em class="sci">Branta bernicla</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0613718	0.0031746	0.0	0.0087719	0.0744186	0.0641026	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0308642	0.0614887	0.0042017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0100503	0.004386	0.0	0.0042735	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.867284	0.8802589	0.8319328	0.8	0.7765957	0.8617021	0.8782609	0.8976744	0.8366337	0.8493976	0.859116	0.8843683	0.9142857	0.8715084	0.8684211	0.8387097	0.7568438	0.720339	0.65625	0.7361809	0.8087432	0.7314286	0.6081081	0.510989	0.4746835	0.5660377	0.7234043	0.6939891	0.7461538	0.6695279	0.6907216	0.7303371	0.8493151	0.8607143	0.8816199	0.8877005	0.9133574	0.9301587	0.9145729	0.8947368	0.8837209	0.9401709	0.9215686	0.9228188	0.9409091	0.95625	0.875	0.8885017	
Swan Goose (Domestic type) x Canada Goose (hybrid) (<em class="sci">Anser cygnoides (Domestic type) x Branta canadensis</em>)	0.0277778	0.0161812	0.0252101	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004386	0.0046512	0.0042735	0.0	0.0033557	0.0045455	0.01875	0.0208333	0.0069686	
